objectid,title,date,date-is-approximate?,creator,editor,recipient,pb notes,db notes,genre,subject,location,latitude,longitude,rights,rightsstatement,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
pb001,UNRHYMED SONNET,,,Peter Birchall,Diana Birchall,,"Note: This is a word-illustration which succeeded to the dignity of a poem.
Countermount: Adv. Uphill, upwards, against a hill or slope; against the natural
course or ordinary way. And fig.
Adage: Such sayings as the conventional use to regulate their lives; those proverbs
which, if believed implicity, result in narrowness of mind.
Anfractuous: Winding; full of windings and turnings; tortuous.
Pismire: An ant.
Cairn: originally, a pyramid of rough stones, raised for a memorial or mark of
some kind; as a memorial of some event, or a sepulchral monument; b, as a
boundary mark, a landmark on a mountain top, or a trail marker.",,sonnet,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1HUhS_43gRAUz1NnxP_xJAQwBm40UqBlZnsbso2Z0D20/edit?usp=sharing,,,,
pb002,MAKE DANGER,,,Peter Birchall,Diana Birchall,,"Make danger = attempt. Makar: a poet. Bellerophon: The Greek hero who rode Pegasus, the winged horse;hated by the gods, he ended his days an outcast. Hippocrene, a spring on mount Helicon, sacred to the Muses, made by Pegasus' hoof. Syrinx: Pan's pipe.   Thirling: thrilling, piercing. Dodona: one of the most sacred sites in ancient Greece; the  priests interpreted the rustling of the ramage (boughs, and the leaves on the boughs), and made prophesies. ram\age are ev'n\ = an anapest. Zephyrus: the west wind. Corybantes: the female devotees of the mother Goddess, Cybele; their orgiastic rites celebrated the self-castration and murder of Atys.
Dear Abby: the above is a word illustration which turned into a poem. While unfinished, I thought I would send it to you because of the classical references. I am sorry for being so dilatory with the magazine, but I have been very depressed (though cheered by smoking opium!): being a junkie is a mixed-blessing! As soon as I finish my work on X, I shall write a satire on Clinton which would make Juvenal blush! Your friend,
P.S.I cannibalized the first half of my filthiest epigram, Contrast, for this poem:
It is the poet highlights the roscid bush,
Adds silver to the warble of the thrush;Transforms the everyday, refines, adorns:
Paints Nature with a unicorn's-hair brush...
",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1CBvzUcbQucrgbzqnwPlAdEzmk3YlrhpEtzStT8eUcC0/edit?usp=sharing,,,,
pb003,THE ANTIQUARY POET,,,Peter Birchall,Diana Birchall,,"Note: I hesitated to use the word Antiquarian in the title of this epigram because it calls to mind Donne's great epigram, and makes mine seem wordy and silly.
 
                                         ANTIQUARY
 
                 ""If in his Studie he hath so much care                   To'hang all old strange things, let his wife beware.""
 
                                                                                                    John Donne
",,sonnet,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1JsUg3xNsFwp5od_2IlcL1TGeAmid237zGUb_o5n8y1U/edit?usp=sharing,,,,
pb004,SCYLLA AND CHARYBDIS,,,Peter Birchall,Diana Birchall,Diana Birchall,"To the Onlie Begetter:
   This sonnet stands up very well after almost forty years: I can't make up my mind whether to put a dash after ""yet""; to break up three lines with the same pause:— Of one who prays, and yet — cannot believe."" This is the way the breaks are now:—
Sleep is no balm        |  to soothe the troubled mind
Of one who prays        |  and yet cannot believe
That in life's search   |  there is something to find.
The 4|6 line was the most popular in Elizabethan poetry ( I believe Puttenham touts it);
I always try to have the same caesura(internal pause) only twice in succession, unless I
want ot make a stylistic point (not the case here).  If pauses are not skillfully varied even brilliant lines begin to sound monotonous. If anything, 4 stress lines must be more skillfully tuned than pentameters;— a long series of lines with a 4|4 break can be maddening.  Marmot Giganticus is an example of a very cleverly arranged variation of pauses. See attached  sheet.                            
P.S. Sorry for being such a mope.   ",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1BZ98sITxt28p3kM4lH8-0EorPcJawvtk90ZIklovvA8/edit?usp=sharing,,,,
pb005,ON A LEMAN KNEELING BY HER LOVER'S TOMB,,,Peter Birchall,Diana Birchall,,"Note: from a colection of seventeenth century epigrams.*
*Actually, I wrote it; but it does have an old fashioned sound.",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1jqmEKbiL-8rZQylyU0l8h_hZdOk3PbT9qDt6TITcYlA/edit?usp=sharing,,,,
pb006,MY CARD,,,Peter Birchall,Diana Birchall,,,,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1oXg2vrem07GZ0D3u3_AKbKEYwGAhM4e8Pweyp2k0Pxc/edit?usp=sharing,,,,
pb007,REMEMBRANCE IS RETURN:  41ST AND 5TH,,,Peter Birchall,Diana Birchall,,,,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1BurPAmp4Hdjq9brtUw5t8xeROga3nshLyK6qn9wvmLU/edit?usp=sharing,,,,
pb008,"AND I,  MERE CHAFF",,,Peter Birchall,Diana Birchall,,"Notes:— Draggle-tail: a slattern.  After Night, a metrical pause.  Beck anb blow: to bow and brag, vaunt\do coke.  Ephemerid: one who lives but for an hour, a mayfly.  Scrabble: to scrape, paw, or scratch; also, to struggle.",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1qXA-uPpwpm5bF6ZusokrH9VevB57Jfhswgg-GKR675M/edit?usp=sharing,,,,
pb009,THE VIEW FROM THE PORCH,,,Peter Birchall,Diana Birchall,,,,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1hAyNrxAsd2UBxFvIbHRCaArdJu-TPYk_EekTT6Aa54k/edit?usp=sharing,,,,
pb010,"SCHOPENHAUER, ADUMBRATED — IN NUMBERS",,,Peter Birchall,Diana Birchall,,"Froward: froward:...in the direction which leads from... Cynthia: The moon, personified.
Note: Schopenhauer, in a brilliant comparison, likens life to the climbing of a hill:  For the first 35 years of our lives, we are ever climbing to the sunlit summit,— from which giddy eminence we see other side of the hill, the downward slope which leads to a beckoning and grimacing skeleton, Death.  The above describes the path, the journey, into the pit.",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1psYGkW5W51-nCUnwzWyEWU5smFFL1e0SS3shBtc2FB4/edit?usp=sharing,,,,
pb011,"GREEK ANTHOLOGY, BOOK X, 81, PALLADAS",,,Peter Birchall,Diana Birchall,,"The Loeb translation: ""Alas for the brevity of life's pleasure!  Mourn the swiftness of time. We sit and we sleep, toiling or taking delight, and time is advancing, advancing against us wretched men, and bringing each to the end of life.""  Note:— lines one and two are much like the middle four lines in an octet of ""regulated verse"" as written in the T'ang Dynasty — most notably by Tu Fu.",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1I5H7yZw1GH5gHChbHP3bUt_J4It6ek-_CM69gcCC-Ow/edit?usp=sharing,,,,
pb012,THE MONKEY POET    ,,,Peter Birchall,Diana Birchall,,"Yarely:  Quickly, nimbly.  Dict: speak.  Tritons and trinities:  things of a very
different character.  The phrase makes up two dactyls - X x x  X x x.  Dryads:  
wood nymphs (my wife's name is Diana; I have anagrammed it into naiad, a
beauful nymph of streams and rivers, many times).     
",,,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1NJXwogKfp2Hlx6BuCo2WlVWLMc5M1bzu4benvNhlEX8/edit?usp=sharing,,,,
pb013,SMOKIN’ DOPE,,,Peter Birchall,Diana Birchall,,"Gloss:
 
To caw an auld man’s pow:   Scottish:  To attain old age.
 
Narghile: A Turkish water pipe.
 
Papapver:  Short for Papaver Somniferum, the opium poppy.
 
Original line 11: Whose essence is even the Lethean ... (juice)",,sonnet,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1YCWj-xpzFEz2Qrb79Y_yoCqr3adbxlejDmNt-H5TNy4/edit?usp=sharing,,,,
pb014,OWL'S ANTHEM,,,Peter Birchall,Diana Birchall,,"Note: the first line is a direct quote from Li Ho. Lines 3 and 4 are greatly influenced by Tu Fu's lu shih [8 line poem or song], which have very strong parallelism between lines 3-4, 5-6. To be a good English poem, the piece should be more fluid; but, if it were more fluid, it would not be a good Chinese imitation!
Dear Denny,
   A litttle romantic, but still nice: Line 1, I am thinkng of an ocean liner; 2 Provincetown beach 1958; line 3 and 4 King's Canyon, Sequoia back-packing; 5, Bearpaw;  6, Bearpaw, Junction meadow; 7, King's Canyon, Sequoia;8, N.Y.C.",[here you might mention that Denny is your nickname],,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1YXLrkcV_lLiHzARkbR5bNsZmau_UM9zHBQkJbQnspBY/edit?usp=sharing,,,,
pb015,"THE DEATH OF KEATS — AN UNRHYMED SONNET
",,,Peter Birchall,Diana Birchall,,"Notes:
Phoebus: Apollo.
Hermes Psychopompus: Hermes as the Messenger of Death.
Hecate = heck-a-tee, the triple Goddess as chthonian deity.
Chaff:  Hermes was wont to exchange pleasantries with the dour Charon:  see Lucian's DIALOGUES OF THE DEAD.
 
last three octet in bold?",,sonnet,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/13JQwa14FkUaRM71SNVzn-rDM4p8E9GOcVy5476mmV2o/edit?usp=sharing,,,,
pb016,PAST BROWNING,,,Peter Birchall,Diana Birchall,,"meet your gaze
 
Pye-dog: an ownerless dog, a pariah. Borrowing from the Indians of the subcontinent in a poem about American autochthones. Crosses: on the way to Browning from the mountains, the road is dotted with white crosses — the memorials of those who died in car accidents. One cluster had six crosses, followed fifty yards further on by two more crosses! If one wanted to make an anti-drinking propoganda film, an Indian reservation would be the place to start!  The Governments treatment of the Indians was — and is a national disgrace! Instead of helping the Indians to help themselves, we give them general assistance — and signs in the supermarket which read: HOME TOWN PROUD: Living, Loving, Caring, Sharing ( the o of proud is a red heart); and LOVING. I am astonished that there are not more Indian axe-murderers!
 
Dear Curly Bear,
   This is to thank you for your talk at the Snow Goose Motel on Monday, August 7: after a week of listening to humorless rangers drone on about sedimentary rock and the dangers of feeding squirrels, it was a pleasure to listen to someone with a sense of fun. Who post signs
and iterate lists of things not to do, surely, these are at war with Nature — and themselves!    It is a great pity that the rangers are not Indians: what better stewards of the land than those whose ancestors lived in harmony with their enviornment for millenia!  
                                                                                                                Respectfully yours,
P. S.If you know of any book of Blackfoot poetry (transliterated Blackfoot on one page, English on the facing
page) that you think is well translated, I would be greatly obliged if you sent me the title.
Ascians: those who live on or near the equator, and on the summer solstice cast no shadow.
Calumet: the Indian peace-pipe.
Iniskim: The buffalo stone, a fossil-stone which attracts the buffalo. In the version of the Iniskim-stone legend which I read (Grinnel), the woman who find's the stone is a young brave's wife; today, I prefer her to be an old woman; tomorrow, I will have her young.
Piskun: the butte over which the buffalo were stampeded to their death by Indian youth's — one, in the lead, wearing a young buffalo's skin to attract them; the other, in the rear, wearing a wolf's skin to frighten them.
Stones: the Indians piled up stone mounds, tracks for the buffalo to run between.
Napi: the Great Spirit who made all things.",[you might identify Curly Bear here],,,,,,,,Text,application/pdf,eng,pdf,https://docs.google.com/document/d/1PdPU0ymoI7ArN8h5auz5eM2XwGBDwCJLjhW6doL1rpQ/edit?usp=sharing,,,,
